Mission,Date, Duration (hours) ,Duration (minutes),Spacewalker
STS-88,"Monday, 7 December 98", 7 ,21,Jerry Ross
STS-88,"Monday, 7 December 98", 7 ,21,James Newman
STS-88,"Wednesday, 9 December 98", 7 ,2,Jerry Ross
STS-88,"Wednesday, 9 December 98", 7 ,2,James Newman
STS-88,"Saturday, 12 December 98", 6 ,59,Jerry Ross
STS-88,"Saturday, 12 December 98", 6 ,59,James Newman
STS-96,"Sunday, 30 May 99", 7 ,55,Tamara Jernigan
STS-96,"Sunday, 30 May 99", 7 ,55,Daniel Barry
STS-101,"Monday, 22 May 00", 6 ,44,James Voss
STS-101,"Monday, 22 May 00", 6 ,44,Jeff Williams
STS-106,"Monday, 11 September 00", 6 ,14,Edward Lu
STS-106,"Monday, 11 September 00", 6 ,14,Yuri Malenchenko
STS-92,"Sunday, 15 October 00", 6 ,28,Leroy Chiao
STS-92,"Sunday, 15 October 00", 6 ,28,Bill McArthur
STS-92,"Monday, 16 October 00", 7 ,7,Michael Lopez-Alegria
STS-92,"Monday, 16 October 00", 7 ,7,Peter J.Wisoff
STS-92,"Tuesday, 17 October 00", 6 ,48,Leroy Chiao
STS-92,"Tuesday, 17 October 00", 6 ,48,Bill McArthur
STS-92,"Wednesday, 18 October 00", 6 ,56,Michael Lopez-Alegria
STS-92,"Wednesday, 18 October 00", 6 ,56,Peter J.Wisoff
STS-97,"Sunday, 3 December 00", 7 ,33,Joseph Tanner
STS-97,"Sunday, 3 December 00", 7 ,33,Carlos Noriega
STS-97,"Tuesday, 5 December 00", 6 ,37,Joseph Tanner
STS-97,"Tuesday, 5 December 00", 6 ,37,Carlos Noriega
STS-97,"Thursday, 7 December 00", 5 ,10,Joseph Tanner
STS-97,"Thursday, 7 December 00", 5 ,10,Carlos Noriega
STS-98,"Saturday, 10 February 01", 7 ,34,Thomas Jones
STS-98,"Saturday, 10 February 01", 7 ,34,Robert Curbeam
STS-98,"Monday, 12 February 01", 6 ,50,Thomas Jones
STS-98,"Monday, 12 February 01", 6 ,50,Robert Curbeam
STS-98,"Wednesday, 14 February 01", 5 ,25,Thomas Jones
STS-98,"Wednesday, 14 February 01", 5 ,25,Robert Curbeam
STS-102,"Sunday, 11 March 01", 8 ,56,James Voss
STS-102,"Sunday, 11 March 01", 8 ,56,Susan Helms
STS-102,"Tuesday, 13 March 01", 6 ,21,Andrew Thomas
STS-102,"Tuesday, 13 March 01", 6 ,21,Paul Richards
STS-100,"Sunday, 22 April 01", 7 ,10,Chris Hadfield
STS-100,"Sunday, 22 April 01", 7 ,10,Scott Parazynski
STS-100,"Tuesday, 24 April 01", 7 ,40,Chris Hadfield
STS-100,"Tuesday, 24 April 01", 7 ,40,Scott Parazynski
Expedition 2,"Friday, 8 June 01", -   ,19,Yury Usachev
Expedition 2,"Friday, 8 June 01", -   ,19,James Voss
STS-104,"Sunday, 15 July 01", 5 ,59,Michael Gernhardt
STS-104,"Sunday, 15 July 01", 5 ,59,James Reilly
STS-104,"Wednesday, 18 July 01", 6 ,29,Michael Gernhardt
STS-104,"Wednesday, 18 July 01", 6 ,29,James Reilly
STS-104,"Saturday, 21 July 01", 4 ,2,Michael Gernhardt
STS-104,"Saturday, 21 July 01", 4 ,2,James Reilly
STS-105,"Thursday, 16 August 01", 5 ,16,Daniel Barry
STS-105,"Thursday, 16 August 01", 5 ,16,Patrick Forrester
STS-105,"Saturday, 18 August 01", 5 ,29,Daniel Barry
STS-105,"Saturday, 18 August 01", 5 ,29,Patrick Forrester
Expedition 3,"Monday, 8 October 01", 4 ,58,Vladimir Dezhurov
Expedition 3,"Monday, 8 October 01", 4 ,58,Mikhail Tyurin
Expedition 3,"Monday, 15 October 01", 5 ,52,Vladimir Dezhurov
Expedition 3,"Monday, 15 October 01", 5 ,52,Mikhail Tyurin
Expedition 3,"Monday, 12 November 01", 5 ,4,Vladimir Dezhurov
Expedition 3,"Monday, 12 November 01", 5 ,4,Frank Culbertson
Expedition 3,"Monday, 3 December 01", 2 ,46,Vladimir Dezhurov
Expedition 3,"Monday, 3 December 01", 2 ,46,Mikhail Tyurin
STS-108,"Monday, 10 December 01", 4 ,12,Linda Godwin
STS-108,"Monday, 10 December 01", 4 ,12,Dan Tani
Expedition 4,"Monday, 14 January 02", 6 ,3,Yury Onufrienko
Expedition 4,"Monday, 14 January 02", 6 ,3,Carl Walz
Expedition 4,"Friday, 25 January 02", 5 ,59,Yury Onufrienko
Expedition 4,"Friday, 25 January 02", 5 ,59,Dan Bursch
Expedition 4,"Wednesday, 20 February 02", 5 ,47,Carl Walz
Expedition 4,"Wednesday, 20 February 02", 5 ,47,Dan Bursch
STS-110,"Thursday, 11 April 02", 7 ,48,Steven Smith
STS-110,"Thursday, 11 April 02", 7 ,48,Rex Walheim
STS-110,"Saturday, 13 April 02", 7 ,30,Jerry Ross
STS-110,"Saturday, 13 April 02", 7 ,30,Lee Morin
STS-110,"Sunday, 14 April 02", 6 ,27,Steven Smith
STS-110,"Sunday, 14 April 02", 6 ,27,Rex Walheim
STS-110,"Tuesday, 16 April 02", 6 ,37,Jerry Ross
STS-110,"Tuesday, 16 April 02", 6 ,37,Lee Morin
STS-111,"Sunday, 9 June 02", 7 ,14,Franklin Chang-Diaz
STS-111,"Sunday, 9 June 02", 7 ,14,Philippe Perrin
STS-111,"Tuesday, 11 June 02", 5 ,0,Franklin Chang-Diaz
STS-111,"Tuesday, 11 June 02", 5 ,0,Philippe Perrin
STS-111,"Thursday, 13 June 02", 7 ,17,Franklin Chang-Diaz
STS-111,"Thursday, 13 June 02", 7 ,17,Philippe Perrin
Expedition 5,"Friday, 16 August 02", 4 ,25,Valery Korzun
Expedition 5,"Friday, 16 August 02", 4 ,25,Peggy Whitson
Expedition 5,"Monday, 26 August 02", 5 ,21,Valery Korzun
Expedition 5,"Monday, 26 August 02", 5 ,21,Sergei Treschev
